Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Beban Pajak Final,Pembayaran Kepada Karyawan,Pembayaran Kepada Pemasok Dan Operasional Lainnya,Pembayaran Beban Bunga Dan Keuangan,Penerimaan Uang Muka Pihak Berelasi,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Penempatan Investasi Pada Entitas Anak,Penerimaan (Pemberian) Piutang Lain-Lain Dari Pihak Berelasi,Penambahan Properti Investasi,Penerimaan Dari Penjualan Properti Investasi,Pencairan (Penempatan) Pada Deposito Dan Bank Garansi,Setoran Modal Non Pengendali,Penerimaan Dari Penjualan Aset Tetap,Perolehan Aset Tak Berwujud,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Utang Bank Dan Lembaga Keuangan Non Bank,Penerimaan,Pembayaran,Total Utang Bank Dan Lembaga Keuangan Non Bank,Perolehan Saham Treasuri,Penerimaan Dari Exercise Warant,Penambahan Modal Dengan Hmetd,Penambahan Utang Kepada Pihak Berelasi,Penerimaan Utang Obligasi Konversi,Beban Emisi Ipo,Penerimaan Dana Ipo (Setelah Dikurangi Biaya Emisi Dan Konversi Obligasi),Penerimaan Dari Kas Lainnya,Rekening Bank Dan Deposito Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,-222828342000.000000,276993614000.000000,-5171032000.000000,-33209372000.000000,-459318406000.000000,-1859571000.000000,,-263575000.000000,-222828342000.000000,-21621332000.000000,4534325000.000000,,119500000.000000,-7248173000.000000,,,,,,-19026984000.000000,-21621332000.000000,216167642000.000000,,209218172000.000000,-95158226000.000000,114059946000.000000,,,,53107696000.000000,49000000000.000000,,,,,216167642000.000000,-28282032000.000000,80224626000.000000,51942594000.000000
12M 2020,-254674686000.000000,90173739000.000000,,-20949466000.000000,-321677998000.000000,-2138828000.000000,,-82133000.000000,-254674686000.000000,-7970232000.000000,2641971000.000000,,,-1100000000.000000,6131045000.000000,-10656576000.000000,,121776000.000000,,-5108448000.000000,-7970232000.000000,227770556000.000000,,288299632000.000000,-255004808000.000000,33294824000.000000,,11471000.000000,,73898631000.000000,,-9201050000.000000,129766680000.000000,,,227770556000.000000,-34874362000.000000,51942594000.000000,17068232000.000000
12M 2021,-169757434000.000000,194465678000.000000,-4663284000.000000,-22982149000.000000,-333753448000.000000,-2824231000.000000,,,-169757434000.000000,-48636634000.000000,418404000.000000,,,-16229941000.000000,6074635000.000000,-35283362000.000000,150000000.000000,,-300000000.000000,-3466370000.000000,-48636634000.000000,235602481000.000000,,202566024000.000000,-42788474000.000000,159777550000.000000,,72816000.000000,,75752115000.000000,,,,,,235602481000.000000,17208413000.000000,17068232000.000000,34276645000.000000
12M 2022,-143820184000.000000,244480833000.000000,-5817481000.000000,-25796484000.000000,-385221690000.000000,-9465362000.000000,38000000000.000000,,-143820184000.000000,-35264794000.000000,1544550000.000000,,,,,-6640578000.000000,25000000.000000,,-348170000.000000,-29845596000.000000,-35264794000.000000,212145439000.000000,,160900784000.000000,-17577531000.000000,143323253000.000000,-55831440000.000000,11749922000.000000,,112903704000.000000,,,,,,212145439000.000000,33060461000.000000,34276645000.000000,67337106000.000000
12M 2023,-207204452000.000000,110008334000.000000,-2941350000.000000,-70777172000.000000,-232390898000.000000,-11103366000.000000,,,-207204452000.000000,-9441346000.000000,1089189000.000000,,,,,-8303503000.000000,,770270000.000000,-94075000.000000,-2903227000.000000,-9441346000.000000,172211081000.000000,,73356947000.000000,-24660485000.000000,48696462000.000000,,63624000.000000,45490983000.000000,82071370000.000000,,,-4111358000.000000,,,172211081000.000000,-44434717000.000000,67337106000.000000,22902389000.000000
12M 2024,21014610000.000000,327227512000.000000,-5333717000.000000,-46196470000.000000,-245115749000.000000,-9566966000.000000,,,21014610000.000000,-30759493000.000000,934418000.000000,,,,,-30634803000.000000,,134234000.000000,,-1193342000.000000,-30759493000.000000,17160540000.000000,,,-5190568000.000000,-5190568000.000000,,46000.000000,5420000000.000000,16931062000.000000,,,,,,17160540000.000000,7415657000.000000,22902389000.000000,30318046000.000000
